external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/1fctva4kpRbg2k3v7kwRuS'},"{'href': None, 'total': 2475063}","['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",https://api.spotify.com/v1/artists/1fctva4kpRbg2k3v7kwRuS,1fctva4kpRbg2k3v7kwRuS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4b160d715741ad56b7ef417d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744b160d715741ad56b7ef417d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784b160d715741ad56b7ef417d', 'width': 160}]",Rvssian,74,artist,spotify:artist:1fctva4kpRbg2k3v7kwRuS
{'spotify': 'https://open.spotify.com/artist/5p9HO3XC5P3BLxJs5Mtrhm'},"{'href': None, 'total': 1352653}","['pov: indie', 'psychedelic pop']",https://api.spotify.com/v1/artists/5p9HO3XC5P3BLxJs5Mtrhm,5p9HO3XC5P3BLxJs5Mtrhm,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb02fcc327683d53bea9583c69', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517402fcc327683d53bea9583c69', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17802fcc327683d53bea9583c69', 'width': 160}]",Djo,77,artist,spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm
{'spotify': 'https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m'},"{'href': None, 'total': 37546686}","['pop', 'r&b']",https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb247f44069c0bd1781df2f785', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174247f44069c0bd1781df2f785', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178247f44069c0bd1781df2f785', 'width': 160}]",Beyoncé,86,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m
{'spotify': 'https://open.spotify.com/artist/4j96cMcT8GRi11qbvo1cLQ'},"{'href': None, 'total': 151842}",[],https://api.spotify.com/v1/artists/4j96cMcT8GRi11qbvo1cLQ,4j96cMcT8GRi11qbvo1cLQ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd0cbbfdf3ecde93424ef77d9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d0cbbfdf3ecde93424ef77d9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d0cbbfdf3ecde93424ef77d9', 'width': 160}]",Michael Marcagi,72,artist,spotify:artist:4j96cMcT8GRi11qbvo1cLQ
{'spotify': 'https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump'},"{'href': None, 'total': 2151035}",[],https://api.spotify.com/v1/artists/33qOK5uJ8AR2xuQQAhHump,33qOK5uJ8AR2xuQQAhHump,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf76e11a5f3c08955fecea690', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f76e11a5f3c08955fecea690', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f76e11a5f3c08955fecea690', 'width': 160}]",Teddy Swims,81,artist,spotify:artist:33qOK5uJ8AR2xuQQAhHump
{'spotify': 'https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ'},"{'href': None, 'total': 3788500}","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ,2LIk90788K0zvyj2JJVwkJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051742aab40ce03f3fa86163f78bb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1782aab40ce03f3fa86163f78bb', 'width': 160}]",Jack Harlow,78,artist,spotify:artist:2LIk90788K0zvyj2JJVwkJ
{'spotify': 'https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B'},"{'href': None, 'total': 8588443}",['pop'],https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebaead9d4bfd812d0d267b2991', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174aead9d4bfd812d0d267b2991', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178aead9d4bfd812d0d267b2991', 'width': 160}]",Sabrina Carpenter,85,artist,spotify:artist:74KM79TiuVKeVCqs8QtB0B
{'spotify': 'https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ'},"{'href': None, 'total': 7278171}","['atl hip hop', 'melodic rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/2hlmm7s2ICUX0LVIhVFlZQ,2hlmm7s2ICUX0LVIhVFlZQ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb978b95b8e03351df8e103af', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b978b95b8e03351df8e103af', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b978b95b8e03351df8e103af', 'width': 160}]",Gunna,85,artist,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
{'spotify': 'https://open.spotify.com/artist/7Ez6lTtSMjMf2YSYpukP1I'},"{'href': None, 'total': 139862}",[],https://api.spotify.com/v1/artists/7Ez6lTtSMjMf2YSYpukP1I,7Ez6lTtSMjMf2YSYpukP1I,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb028d65354505e72e2cf86077', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174028d65354505e72e2cf86077', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178028d65354505e72e2cf86077', 'width': 160}]",Dasha,73,artist,spotify:artist:7Ez6lTtSMjMf2YSYpukP1I
{'spotify': 'https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx'},"{'href': None, 'total': 24178774}","['modern rock', 'pop', 'pov: indie', 'rock']",https://api.spotify.com/v1/artists/3YQKmKGau1PzlVlkL1iodx,3YQKmKGau1PzlVlkL1iodx,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb274df4dfcb960867eccedfb5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174274df4dfcb960867eccedfb5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178274df4dfcb960867eccedfb5', 'width': 160}]",Twenty One Pilots,82,artist,spotify:artist:3YQKmKGau1PzlVlkL1iodx
{'spotify': 'https://open.spotify.com/artist/0PCCGZ0wGLizHt2KZ7hhA2'},"{'href': None, 'total': 676186}",[],https://api.spotify.com/v1/artists/0PCCGZ0wGLizHt2KZ7hhA2,0PCCGZ0wGLizHt2KZ7hhA2,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb597f1c8c92c4a82734e3af43', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174597f1c8c92c4a82734e3af43', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178597f1c8c92c4a82734e3af43', 'width': 160}]",Artemas,81,artist,spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 111344915}",['pop'],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676', 'width': 160}]",Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/3bO19AOone0ubCsfDXDtYt'},"{'href': None, 'total': 528981}",['singer-songwriter pop'],https://api.spotify.com/v1/artists/3bO19AOone0ubCsfDXDtYt,3bO19AOone0ubCsfDXDtYt,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4ba4b52faef3fc16db9ecb14', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744ba4b52faef3fc16db9ecb14', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784ba4b52faef3fc16db9ecb14', 'width': 160}]",Myles Smith,73,artist,spotify:artist:3bO19AOone0ubCsfDXDtYt
{'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'},"{'href': None, 'total': 44019588}","['dfw rap', 'melodic rap', 'pop', 'rap']",https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,246dkjvS1zLTtiykXe5h60,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e17c0aa1714a03d62b5ce4e0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e17c0aa1714a03d62b5ce4e0', 'width': 160}]",Post Malone,89,artist,spotify:artist:246dkjvS1zLTtiykXe5h60
{'spotify': 'https://open.spotify.com/artist/1WaFQSHVGZQJTbf0BdxdNo'},"{'href': None, 'total': 298850}",['chill abstract hip hop'],https://api.spotify.com/v1/artists/1WaFQSHVGZQJTbf0BdxdNo,1WaFQSHVGZQJTbf0BdxdNo,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebbb330168f192dbdc28fcbd37', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174bb330168f192dbdc28fcbd37', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178bb330168f192dbdc28fcbd37', 'width': 160}]",Tommy Richman,81,artist,spotify:artist:1WaFQSHVGZQJTbf0BdxdNo
{'spotify': 'https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft'},"{'href': None, 'total': 18626190}","['atl hip hop', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft,1URnnhqYAYcrqrcwql10ft,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744f8f76117470957c0e81e5b2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784f8f76117470957c0e81e5b2', 'width': 160}]",21 Savage,87,artist,spotify:artist:1URnnhqYAYcrqrcwql10ft
{'spotify': 'https://open.spotify.com/artist/7GlBOeep6PqTfFi59PTUUN'},"{'href': None, 'total': 889418}","['indie pop', 'pov: indie', 'springfield mo indie']",https://api.spotify.com/v1/artists/7GlBOeep6PqTfFi59PTUUN,7GlBOeep6PqTfFi59PTUUN,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cde5a0d57c1b79de5fce6bee', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cde5a0d57c1b79de5fce6bee', 'width': 160}]",Chappell Roan,79,artist,spotify:artist:7GlBOeep6PqTfFi59PTUUN
{'spotify': 'https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32'},"{'href': None, 'total': 2589332}",['bedroom pop'],https://api.spotify.com/v1/artists/5y8tKLUfMvliMe8IKamR32,5y8tKLUfMvliMe8IKamR32,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebad447187a35f422307e88ad3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ad447187a35f422307e88ad3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ad447187a35f422307e88ad3', 'width': 160}]",d4vd,77,artist,spotify:artist:5y8tKLUfMvliMe8IKamR32
{'spotify': 'https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4'},"{'href': None, 'total': 8336373}","['edm', 'pop', 'pop dance', 'tropical house']",https://api.spotify.com/v1/artists/23fqKkggKUBHNkbKtXEls4,23fqKkggKUBHNkbKtXEls4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe636670d717588b11d654130', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e636670d717588b11d654130', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e636670d717588b11d654130', 'width': 160}]",Kygo,78,artist,spotify:artist:23fqKkggKUBHNkbKtXEls4
{'spotify': 'https://open.spotify.com/artist/36cgvBn0aadzOijnjjwqMN'},"{'href': None, 'total': 883745}",['5th gen k-pop'],https://api.spotify.com/v1/artists/36cgvBn0aadzOijnjjwqMN,36cgvBn0aadzOijnjjwqMN,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5884b5e3bdc71d42b62bfcfd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745884b5e3bdc71d42b62bfcfd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785884b5e3bdc71d42b62bfcfd', 'width': 160}]",ILLIT,74,artist,spotify:artist:36cgvBn0aadzOijnjjwqMN
{'spotify': 'https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET'},"{'href': None, 'total': 2625104}",['singer-songwriter pop'],https://api.spotify.com/v1/artists/22wbnEMDvgVIAGdFeek6ET,22wbnEMDvgVIAGdFeek6ET,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b2ce21a89c09c00d80d8ca25', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b2ce21a89c09c00d80d8ca25', 'width': 160}]",Benson Boone,84,artist,spotify:artist:22wbnEMDvgVIAGdFeek6ET
{'spotify': 'https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T'},"{'href': None, 'total': 33615636}","['brostep', 'edm', 'pop', 'progressive electro house']",https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T,64KEffDW9EtZ1y2vBYgq8T,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0d7739a2b10fd723f5ca095e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740d7739a2b10fd723f5ca095e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780d7739a2b10fd723f5ca095e', 'width': 160}]",Marshmello,81,artist,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
{'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'},"{'href': None, 'total': 25511444}","['big room', 'dance pop', 'edm', 'pop', 'pop dance']",https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai,1Cs0zKBU1kc0i8ypK3B9ai,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f150017ca69c8793503c2d4f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f', 'width': 160}]",David Guetta,86,artist,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
